GameFileName,GameName,Manufact,GameYear,NumPlayers,GameType,Category,GameTheme,WebLinkURL,IPDBNum,AltRunMode,DesignedBy,Author,GAMEVER,Rom,Tags,VPS-ID
"300 (Gottlieb 1975)","300 (Gottlieb 1975)",Gottlieb,1975,4,EM,,"Sports, Bowling","http://www.ipdb.org/machine.cgi?id=2539",2539,,"Ed Krynski","Scampa123, Loserman76, Rawd, Pritch33, Leojreimroc, Apophis, HauntFreaks",1.1,,"VR, MOD, Hybrid",dru4vO0W
"300 (Gottlieb 1975)","300 (Gottlieb 1975)",Gottlieb,1975,4,EM,,"Sports, Bowling","http://www.ipdb.org/machine.cgi?id=2539",2539,,"Ed Krynski","Loserman76, Conram29, Francisco666, GNance, Pinuck, BorgDog, Arngrim, HauntFreaks, JPSalas",1.0.0f,,,9pDvjPBe
"4 Queens (Bally 1970)","4 Queens (Bally 1970)",Bally,1970,1,EM,,"Cards, Happiness","http://www.ipdb.org/machine.cgi?id=936",936,,"Jim Patla","Margoni",1.0,,,U2nK5LF5jm
"4 Queens (Bally 1970)","4 Queens (Bally 1970)",Bally,1970,1,EM,,"Cards, Happiness","http://www.ipdb.org/machine.cgi?id=936",936,,"Jim Patla","Loserman76, -=Kees=-",2.0a,,"MOD",vSrIXeUC
"4 Queens (Bally 1970)","4 Queens (Bally 1970)",Bally,1970,1,EM,,"Cards, Happiness","http://www.ipdb.org/machine.cgi?id=936",936,,"Jim Patla","Singinfool64, Loserman76, -=Kees=-",1.1,,"MOD",RKtOdfTH
"4 Queens (Bally 1970)","4 Queens (Bally 1970)",Bally,1970,1,EM,,"Cards, Happiness","http://www.ipdb.org/machine.cgi?id=936",936,,"Jim Patla","-=Kees=-",1.01,,,j76bd-z1Hz
"4 Roses (Williams 1962)","4 Roses (Williams 1962)",Williams,1962,1,EM,,"Pageantry","https://www.ipdb.org/machine.cgi?id=938",938,,"Steve Kordek","Foxyt, Balater",1.05,,"MOD",iqXz1YnJ
"4 Roses (Williams 1962)","4 Roses (Williams 1962)",Williams,1962,1,EM,,"Pageantry","https://www.ipdb.org/machine.cgi?id=938",938,,"Steve Kordek","Balater",1.04,,,i9f19gIR
"4 Roses (Williams 1962)","4 Roses (Williams 1962)",Williams,1962,1,EM,,"Pageantry","https://www.ipdb.org/machine.cgi?id=938",938,,"Steve Kordek","Margoni",1.0,,,1RJWWHdQHS
"4 Square (Gottlieb 1971)","4 Square (Gottlieb 1971)",Gottlieb,1971,1,EM,,"Dancing, Happiness, Music, Psychedelic","https://www.ipdb.org/machine.cgi?id=940",940,,"Ed Krynski","Margoni",2.0,,,U-UujoV7WY
"4 Square (Gottlieb 1971)","4 Square (Gottlieb 1971)",Gottlieb,1971,1,EM,,"Dancing, Happiness, Music, Psychedelic","https://www.ipdb.org/machine.cgi?id=940",940,,"Ed Krynski","Teisen, Loserman76, Wildman, HauntFreaks, BorgDog, GNance, JPSalas, Pinuck",1.0,,"MOD",jAsCnsExSI
"4 Square (Gottlieb 1971)","4 Square (Gottlieb 1971)",Gottlieb,1971,1,EM,,"Dancing, Happiness, Music, Psychedelic","https://www.ipdb.org/machine.cgi?id=940",940,,"Ed Krynski","Loserman76, GNance, Pinuck, BorgDog, HauntFreaks, JPSalas",1.0.0f,,,c3U3NQNL
